"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Odontologia Réssio","5","501","R. Ingaí, 156 - Conj 1212","São Paulo","São Paulo","BR",,"+55 11 98831-6355","Clínica odontológica","Dentista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20R%C3%A9ssio&query_place_id=ChIJx8eTUw5czpQRihpfOTpCJsk","Clínica odontológica"
"Mister Dent Odontologia","4.8","309","Av. Mateo Bei, 1662","São Paulo","São Paulo","BR","http://www.misterdent.com.br/","+55 11 2919-9978","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mister%20Dent%20Odontologia&query_place_id=ChIJC04sW89nzpQRQBQ6iMvthhI","Dentista"
"Souffi Odontologia","4.9","282","Estr. Itaquera Guaianazes, 2295","São Paulo","São Paulo","BR",,"+55 11 2552-5522","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Souffi%20Odontologia&query_place_id=ChIJ6z0OGLllzpQRD9VP4TLuhIw","Clínica odontológica"
"MR Odontologia Especializada - Clínica Odontológica em Guaianases","4.9","120","R. Nicolau de Lemos Garcia, 55","São Paulo","São Paulo","BR","http://www.mrodonto.com.br/","+55 11 2515-7777","Dentista","Clínica odontológica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MR%20Odontologia%20Especializada%20-%20Cl%C3%ADnica%20Odontol%C3%B3gica%20em%20Guaianases&query_place_id=ChIJoz5m5mxkzpQRXZr44C7E70I","Dentista"
"Kéra Odontologia","4.9","107","08030070","São Paulo","SP","BR",,"+55 11 97331-1377","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=K%C3%A9ra%20Odontologia&query_place_id=ChIJhfKQpoNjzpQRxag3zAGB7QY","Clínica odontológica"
"Shalom Odontologia Integrada - Dentista 24H","4.9","425","Av. Ten. Laudelino F.do Amaral, 422 - Sala 6","São Paulo","São Paulo","BR","https://www.shalomodontologia.com/","+55 11 96625-8802","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shalom%20Odontologia%20Integrada%20-%20Dentista%2024H&query_place_id=ChIJ74b9WnJhzpQRtHdRS-VI7p8","Clínica odontológica"
"Okàn Odontologia Humanizada","4.9","766","R. Hipólito de Camargo, 230","São Paulo","São Paulo","BR","https://okansaudeebemestar.com/","+55 11 2553-3630","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ok%C3%A0n%20Odontologia%20Humanizada&query_place_id=ChIJs6xFy1JkzpQR_VMqJYZI4pQ","Clínica odontológica"
"Clínica Odonto Brasil Implantes","4.7","186","R. Prof. Carlos de Assis Figueiredo, 36","São Paulo","São Paulo","BR","https://www.clinicaodontobrasil.com.br/","+55 11 95192-7376","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odonto%20Brasil%20Implantes&query_place_id=ChIJJ3VzuoJjzpQRqOIPVVSAk0I","Dentista"
"Sorriso de Monalisa Odontologia","4.6","275","R. Arlindo Colaço, 328 - cj 24","São Paulo","São Paulo","BR","https://sorrisodemonalisaodonto.com.br/","+55 11 94714-1041","Dentista","Dentista cosmético","Periodontia e implantes dentários","Clínica de implante dentário","Centro de cuidados com dentaduras","Endodontista","Cirurgião dentista","Ortodontista",,,"https://www.google.com/maps/search/?api=1&query=Sorriso%20de%20Monalisa%20Odontologia&query_place_id=ChIJHeeT-mJhzpQRQYiDzgrYiyU","Dentista"
"Anjos Odontologia","4.7","170","Rua Padre Viegas de Menezes, 245 - Casa 1","São Paulo","São Paulo","BR",,"+55 11 2056-3459","Clínica odontológica","Periodontia e implantes dentários","Endodontista","Clínico geral","Cirurgião",,,,,,"https://www.google.com/maps/search/?api=1&query=Anjos%20Odontologia&query_place_id=ChIJhUz08bhmzpQR7wU3cbZHJmU","Clínica odontológica"
"Sorelle Odontologia","5","46","Rua Victório Santim, 766","São Paulo","São Paulo","BR",,"+55 11 97185-0223","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sorelle%20Odontologia&query_place_id=ChIJ_xeSs19nzpQRV_cEYl3m4nI","Clínica odontológica"
"DKM Odontologia","5","185","Av. Oliveira Freire, 1200 - 1• andar","São Paulo","São Paulo","BR","https://www.instagram.com/dkm.odontologia/","+55 11 99569-2749","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DKM%20Odontologia&query_place_id=ChIJ3bEGnshjzpQR30x_XCCgyyQ","Dentista"
"K10 Clínica de Odontologia, Ortodontia, Implantes e Próteses Dentárias em Itaquera","5","193","R. Norival Aparecido Costa, 92","São Paulo","São Paulo","BR","https://k10odonto.com.br/","+55 11 2518-2057","Clínica odontológica","Cirurgião dentista","Ortodontista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=K10%20Cl%C3%ADnica%20de%20Odontologia%2C%20Ortodontia%2C%20Implantes%20e%20Pr%C3%B3teses%20Dent%C3%A1rias%20em%20Itaquera&query_place_id=ChIJ0T2hybxmzpQRWkbl9MdT9WE","Clínica odontológica"
"ND Nathalia Dutra Odontologia Especializada","4.9","118","R. Ivoturucaia, 2c","São Paulo","São Paulo","BR","https://instagram.com/ndnathaliadutra?igshid=MzRlODBiNWFlZA==","+55 11 93943-7527","Dentista","Consultoria",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ND%20Nathalia%20Dutra%20Odontologia%20Especializada&query_place_id=ChIJl8f6catjzpQRZxnZdMqNqTs","Dentista"
"ACS Odontologia | Dentista em Itaquera","4.9","304","R. Fontoura Xavier, 1044","São Paulo","São Paulo","BR","http://www.acsodontologia.com.br/","+55 11 2205-5290","Clínica odontológica","Periodontia e implantes dentários","Endodontista","Ortodontista","Odontopediatra","Clínica de odontopediatria","Periodontista",,,,"https://www.google.com/maps/search/?api=1&query=ACS%20Odontologia%20%7C%20Dentista%20em%20Itaquera&query_place_id=ChIJR6yNspZnzpQRksyC6mIAn04","Clínica odontológica"
"Dra. Dente (Dentista - Itaim Paulista)","5","63","Rua Tibúrcio de Sousa, 119","São Paulo","São Paulo","BR",,"+55 11 2571-0213","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra.%20Dente%20(Dentista%20-%20Itaim%20Paulista)&query_place_id=ChIJX3-7FW9jzpQR7onk6rcG2x8","Dentista"
"Clínica Dentista do Povo - Itaim Paulista","4.8","155","Avenida Marechal Tito, 4490","São Paulo","São Paulo","BR","https://clinicadentistadopovo.com.br/","+55 11 2571-4167","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dentista%20do%20Povo%20-%20Itaim%20Paulista&query_place_id=ChIJC8R-n4JjzpQRoI6X8WBaOGM","Clínica odontológica"
"Clínica Dr. Heliton - Dentista em Itaquera","4.9","535","Av. Campanella, 2453","São Paulo","São Paulo","BR",,"+55 11 95969-0010","Dentista","Clínica odontológica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dr.%20Heliton%20-%20Dentista%20em%20Itaquera&query_place_id=ChIJ-xMNTLdnzpQRkh7-5nqtaXo","Dentista"
"Dentista Dr. Washington Almeida","5","59","Rua Marco Antonio Setti, 506","São Paulo","São Paulo","BR","https://instagram.com/dr.washington_almeida?igshid=1ct7o18m0holz","+55 11 98118-0588","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Dr.%20Washington%20Almeida&query_place_id=ChIJuVJ0zrNkzpQRRbhwXAJUbMw","Dentista"
"Clínica Nova Jerusalém - Dentista São Paulo","4.5","376","R. Amadeu Gamberini, 89","São Paulo","São Paulo","BR","https://www.clinicanovajerusalem.com/","+55 11 99463-8070","Dentista","Periodontia e implantes dentários","Endodontista","Clínico geral","Ortodontista","Periodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Nova%20Jerusal%C3%A9m%20-%20Dentista%20S%C3%A3o%20Paulo&query_place_id=ChIJ261mbmNhzpQReBjd_iXqPGk","Dentista"
"Rennova Odontologia Vila Ré - Dentista na vila Ré","4.8","54","R. Itinguçu, 1098","São Paulo","São Paulo","BR","https://api.whatsapp.com/send?phone=5511974556070","+55 11 2685-8344","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rennova%20Odontologia%20Vila%20R%C3%A9%20-%20Dentista%20na%20vila%20R%C3%A9&query_place_id=ChIJJ81o9LxgzpQRmaatERq7Aek","Dentista"
"Ressù Oral Clinic","5","240","Av. Boturussu, 212","São Paulo","São Paulo","BR","https://www.ressuoralclinic.com.br/","","Dentista","Clínica odontológica","Cirurgião dentista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ress%C3%B9%20Oral%20Clinic&query_place_id=ChIJWzx_wN9hzpQRi8OlJ8-SSUE","Dentista"
"Consultório Odontológico da Vila | Unid. 2 | Dentista na Vila Curuçá | São Miguel Paulista","4.7","24","Rua Guaraitá, 949","São Paulo","São Paulo","BR","https://davilaodontologia.com.br/","+55 11 97952-6687","Dentista","Periodontia e implantes dentários","Clínica odontológica","Cirurgião dentista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20Odontol%C3%B3gico%20da%20Vila%20%7C%20Unid.%202%20%7C%20Dentista%20na%20Vila%20Curu%C3%A7%C3%A1%20%7C%20S%C3%A3o%20Miguel%20Paulista&query_place_id=ChIJCU_cZ9FjzpQRM2lG36veNFM","Dentista"
"Odontti Clinic – Dentista em Itaquera | Clínica Odontológica","5","54","R. Virgínia Ferni, 557A","São Paulo","São Paulo","BR","http://www.odontticlinic.com.br/","+55 11 94884-7778","Dentista","Clínica odontológica","Periodontia e implantes dentários","Serviço dentário de emergência","Endodontista","Clínico geral","Cirurgião dentista","Ortodontista","Odontopediatra","Serviço de clareamento dental","https://www.google.com/maps/search/?api=1&query=Odontti%20Clinic%20%E2%80%93%20Dentista%20em%20Itaquera%20%7C%20Cl%C3%ADnica%20Odontol%C3%B3gica&query_place_id=ChIJYYwF8-VnzpQRz6K_oVLv1EA","Dentista"
"Dentista em Itaquera | Dra. Sirlândia Souza","5","232","R. Fontoura Xavier, 750 - Sala 1","São Paulo","São Paulo","BR","https://www.odontsis.com.br/","+55 11 2286-1331","Dentista","Periodontia e implantes dentários","Cirurgião dentista","Ortodontista","Laboratório de prótese e órtese","Odontopediatra","Clínica de odontopediatria",,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20em%20Itaquera%20%7C%20Dra.%20Sirl%C3%A2ndia%20Souza&query_place_id=ChIJRZ-EoIT_zpQRFjbwKfo4-1o","Dentista"
"Clínica Dentista do Povo - São Miguel Paulista","4.3","19","R. Salvador de Medeiros, 346","São Paulo","São Paulo","BR","https://www.clinicadentistadopovo.com.br/","+55 11 2058-4631","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dentista%20do%20Povo%20-%20S%C3%A3o%20Miguel%20Paulista&query_place_id=ChIJk0xO0GJhzpQRt4gRyeyIazk","Clínica odontológica"
"Dentista Dra. Luiza Lessa","5","50","R. Cardon, 16 - Sala 4","São Paulo","São Paulo","BR","https://www.instagram.com/draluizalessa_?igsh=aGdqZmdjeG5lcnVq&utm_source=qr","+55 11 95803-7126","Dentista","Clínica odontológica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Dra.%20Luiza%20Lessa&query_place_id=ChIJyXq1P9NjzpQRqbN8u6ttQSg","Dentista"
"Dentista Guaianases - Dr Saúde e Sorriso| Implante Dentario| Aparelho Ortodontico | Limpeza | Clareamento | Extrações","4.9","31","R. Salvador Gianetti, 848 A - Sala 11","São Paulo","São Paulo","BR","https://doutorsaudesorriso.com.br/","+55 11 2961-2255","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Guaianases%20-%20Dr%20Sa%C3%BAde%20e%20Sorriso%7C%20Implante%20Dentario%7C%20Aparelho%20Ortodontico%20%7C%20Limpeza%20%7C%20Clareamento%20%7C%20Extra%C3%A7%C3%B5es&query_place_id=ChIJx_SQ0ZJlzpQRvWTuUklDyVg","Dentista"
"Dentista Itaim Paulista - Dr. Guilherme","5","50","Rua Curicharas N°61 Jd. Aimoré","São Paulo","SP","BR",,"+55 11 96566-3720","Cirurgião dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Itaim%20Paulista%20-%20Dr.%20Guilherme&query_place_id=ChIJxRl-aZ1jzpQRr_HVBcpKmbc","Cirurgião dentista"
"Implantes Dentários | Aparelho Dentário | Dentista | OdontoPonto | Guaianazes, Guaianases Vila Minerva - SP","4.9","1684","Rua Capitão Pucci, 62","São Paulo","São Paulo","BR","http://www.dentistaemguaianases.com.br/","+55 11 94034-4231","Dentista","Periodontia e implantes dentários","Clínica odontológica","Ortodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Implantes%20Dent%C3%A1rios%20%7C%20Aparelho%20Dent%C3%A1rio%20%7C%20Dentista%20%7C%20OdontoPonto%20%7C%20Guaianazes%2C%20Guaianases%20Vila%20Minerva%20-%20SP&query_place_id=ChIJMdnXdlJkzpQRDYZTrMngr_U","Dentista"
"ODONTOLOGIA AVANÇADA | Dentista na Zona Leste - Jd Três Marias","4.8","129","R. Dr. José do Amaral, 279","São Paulo","São Paulo","BR","https://odontologiaavancada.com.br/","+55 11 98098-4278","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ODONTOLOGIA%20AVAN%C3%87ADA%20%7C%20Dentista%20na%20Zona%20Leste%20-%20Jd%20Tr%C3%AAs%20Marias&query_place_id=ChIJlapABsBgzpQR11IrwrpNm34","Dentista"
"Dra Andréia Mota Odontologia - Dentista Artur Alvim I Endodontia","5","60","Av. Águia de Haia, 761 - sala 03","São Paulo","São Paulo","BR","http://draandreiamota.com.br/","+55 11 94757-0468","Dentista","Dentista cosmético","Clínica odontológica","Endodontista","Cirurgião dentista","Ortodontista","Periodontista","Serviço de clareamento dental",,,"https://www.google.com/maps/search/?api=1&query=Dra%20Andr%C3%A9ia%20Mota%20Odontologia%20-%20Dentista%20Artur%20Alvim%20I%20Endodontia&query_place_id=ChIJ5Rnd1TdnzpQRoNWYaJxP1kA","Dentista"
"Odontologia Especializada - Dentista Patriarca","5","63","Rua João José de Queiroz, 1125 - Sala 1","São Paulo","São Paulo","BR",,"+55 11 4117-3575","Dentista","Dentista cosmético","Periodontia e implantes dentários","Clínica odontológica","Endodontista","Cirurgião dentista","Ortodontista","Odontopediatra",,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20Especializada%20-%20Dentista%20Patriarca&query_place_id=ChIJ1eJ0AsRgzpQRj_MZsX5872c","Dentista"
"Dentista São Miguel","4.8","81","R. Arlindo Colaço, 323","São Paulo","São Paulo","BR","https://wa.me/5511952823870","+55 11 95282-3870","Dentista","Clínica odontológica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20S%C3%A3o%20Miguel&query_place_id=ChIJObhbL6ZhzpQR_QFNU9AxOic","Dentista"
"Bem Odontologia | Implantes Dentários | Prótese Protocolo | Facetas em Resina","4.9","343","Estr. da Colonia Mário Reimberg Christe","São Paulo","São Paulo","BR",,"+55 11 95040-2340","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bem%20Odontologia%20%7C%20Implantes%20Dent%C3%A1rios%20%7C%20Pr%C3%B3tese%20Protocolo%20%7C%20Facetas%20em%20Resina&query_place_id=ChIJcctXOxZJzpQRPm5a1g79XpE","Dentista"
"Dra Amanda Sodré, Consultorio Odontológico","5","45","Av. da Moenda Velha, 289","São Paulo","São Paulo","BR",,"+55 11 99854-3892","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Amanda%20Sodr%C3%A9%2C%20Consultorio%20Odontol%C3%B3gico&query_place_id=ChIJN4IIyMVTzpQRq3qiscnitIo","Dentista"
"Clínica Dental Raúl Torrez","5","96","Rua Garcia De Orta 92 - Compl.C/4","São Paulo","SP","BR","https://instagram.com/dr.raulalberto1976?igshid=MzRlODBiNWFlZA==","+55 11 95360-9189","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dental%20Ra%C3%BAl%20Torrez&query_place_id=ChIJ15qpWrtTzpQRCBUxMzq6MHc","Clínica odontológica"
"A Odontologia","5","35","R. Elísia Gonçalves Barcelos, 26","São Paulo","São Paulo","BR",,"+55 11 98049-7219","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A%20Odontologia&query_place_id=ChIJN1GwHUpPzpQRWooeZ5mCirU","Dentista"
"Consultório Odontológico Valo Velho","4.6","10","Estr. de Itapecerica, 12700","São Paulo","São Paulo","BR","https://bit.ly/ConsultorioValoVelho","+55 11 98106-4072","Dentista","Clínica odontológica","Endodontista","Cirurgião dentista","Ortodontista","Periodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20Odontol%C3%B3gico%20Valo%20Velho&query_place_id=ChIJ2zNKYeFSzpQR_S07VQCwx3A","Dentista"
"Dentista 24 horas, Atendimentos de Urgências e Convencionais","4.6","56","Av. Dona Belmira Marin, 1782","São Paulo","São Paulo","BR","https://api.whatsapp.com/send?phone=5511962824345&text=Ol%C3%A1,%20gostaria%20de%20agendar%20um%20hor%C3%A1rio!","+55 11 96282-4345","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%2024%20horas%2C%20Atendimentos%20de%20Urg%C3%AAncias%20e%20Convencionais&query_place_id=ChIJRVd4uspPzpQRsZ17msgRT-c","Dentista"
"DRA BEATRIZ CARVALHO ODONTOLOGIA","5","205","R. José Manoel Nicoli, 23","São Paulo","São Paulo","BR","https://sites.google.com/view/dental-vallo/in%C3%ADcio","+55 11 99337-9191","Dentista","Clínica odontológica","Periodontia e implantes dentários","Laboratório de odontologia","Serviço dentário de emergência","Endodontista","Cirurgião dentista","Ortodontista",,,"https://www.google.com/maps/search/?api=1&query=DRA%20BEATRIZ%20CARVALHO%20ODONTOLOGIA&query_place_id=ChIJj-y77VRTzpQRJYuHWuKTsTY","Dentista"
"CX Odontologia Especializada/Dra. Camila Xavier","4.8","60","R. João Felício dos Santos, 62","São Paulo","São Paulo","BR","https://typebot.co/dra-camila-xavier","+55 11 93359-7778","Dentista","Cirurgião dentista","Ortodontista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=CX%20Odontologia%20Especializada%2FDra.%20Camila%20Xavier&query_place_id=ChIJAQCw6ONSzpQRjKMKX2ewxGQ","Dentista"
"Clinic Smile Odontológia Especializada","5","14","Av. Taquandava, 327","São Paulo","São Paulo","BR",,"+55 11 95498-5458","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Clinic%20Smile%20Odontol%C3%B3gia%20Especializada&query_place_id=ChIJ9c4zAQBNzpQRELpSUymbBzg","Dentista"
"Dentista Odontologia Dr. Vinicius (Implantodontista)","5","147","R. Ciclades, 1.234","São Paulo","São Paulo","BR",,"+55 11 98689-1562","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Odontologia%20Dr.%20Vinicius%20(Implantodontista)&query_place_id=ChIJsd3FLfJSzpQRyAFlq4zFAyE","Dentista"
"A G Sorriso","4.9","29","Av. Manoel dos Santos Braga, 1246","São Paulo","São Paulo","BR",,"+55 11 2048-2790","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A%20G%20Sorriso&query_place_id=ChIJ330SihdhzpQRaICrE7QhBC4","Dentista"
"Implemente Odontologia Arthur Alvim - Implantes Dentários, Dentista Arthur Alvim","4.9","356","R. Maria Eugênia Célso, 96","São Paulo","São Paulo","BR","https://implementeodonto.com.br/dentista-artur-alvim/","+55 11 98983-9933","Dentista","Clínica odontológica","Periodontia e implantes dentários","Cirurgião dentista","Ortodontista",,,,,,"https://www.google.com/maps/search/?api=1&query=Implemente%20Odontologia%20Arthur%20Alvim%20-%20Implantes%20Dent%C3%A1rios%2C%20Dentista%20Arthur%20Alvim&query_place_id=ChIJA3Wnay9nzpQR-z2Olenjqtg","Dentista"
"Dra Cibele Kimie Nakaya Dentista especialista em Endodontia, Estética e Implantodontia","4.8","32","Av. Nordestina, 5460 - Sala 06","São Paulo","São Paulo","BR",,"+55 11 2515-0069","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Cibele%20Kimie%20Nakaya%20Dentista%20especialista%20em%20Endodontia%2C%20Est%C3%A9tica%20e%20Implantodontia&query_place_id=ChIJUyQqcGtkzpQR4bHNDg-gLd0","Dentista"
"Acredite Odontologia | Dentista em Itaquera","4.5","131","Rua Américo Salvador Novelli, 442","São Paulo","São Paulo","BR",,"+55 11 97443-5406","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Acredite%20Odontologia%20%7C%20Dentista%20em%20Itaquera&query_place_id=ChIJ4StF5clnzpQRw_UDNblb0Z8","Dentista"
"Odonto Wesen | Implante Dentário | Dentista | Vila Jacuí | São Paulo - SP","5","123","Av. Dr. Ussiel Cirilo, 45","São Paulo","São Paulo","BR","https://www.odontowesen.com.br/","+55 11 3506-5073","Clínica odontológica","Ortodontista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Wesen%20%7C%20Implante%20Dent%C3%A1rio%20%7C%20Dentista%20%7C%20Vila%20Jacu%C3%AD%20%7C%20S%C3%A3o%20Paulo%20-%20SP&query_place_id=ChIJUYpMof5hzpQR3mWUNRtH5-c","Clínica odontológica"
"Dentista - Clínica Odontologia Integrada","5","49","Av. Boturussu, 618 - sala 9","São Paulo","São Paulo","BR","https://www.facebook.com/profile.php?id=61583922063165","+55 11 93366-8245","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20-%20Cl%C3%ADnica%20Odontologia%20Integrada&query_place_id=ChIJh5KxqTNhzpQRxtqla3_6GXc","Dentista"
"Oral Sin Implantes Itaquera - Dentista em São Paulo","4.9","173","R. Barros Cassal, 176","São Paulo","São Paulo","BR","http://www.oralsinsp.com.br/","+55 11 5908-3994","Dentista","Clínica odontológica","Clínica de implante dentário","Cirurgião dentista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Oral%20Sin%20Implantes%20Itaquera%20-%20Dentista%20em%20S%C3%A3o%20Paulo&query_place_id=ChIJP2on9CpnzpQRwEFCvEGi0Ng","Dentista"
"Dra Bianca Lopes | Dentista em Itaquera","5","91","R. Fontoura Xavier, 946 - Sala 3","São Paulo","São Paulo","BR","https://blodontologia-halitose.blodontologia.com.br/tratamentodemauhalito","+55 11 99296-5875","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Bianca%20Lopes%20%7C%20Dentista%20em%20Itaquera&query_place_id=ChIJJ98-dNlnzpQRaDxGv_YsF5g","Dentista"
