"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Aligner Odontologia Dra Alessandra Haliski (implante ) e Dra Sidia Coser (ortodontia)","5","63","Av. Manoel Ribas, 1473 - salas 101/ 102","Curitiba","Paraná","BR",,"+55 41 3029-5229","Clínica de implante dentário","Dentista cosmético","Clínica odontológica","Ortodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Aligner%20Odontologia%20Dra%20Alessandra%20Haliski%20(implante%20)%20e%20Dra%20Sidia%20Coser%20(ortodontia)&query_place_id=ChIJGaaGxa3j3JQRoyBJC2nGhR4","Clínica de implante dentário"
"Mansur Odontologia","4.9","11","Rua Antônio Escorsin, 901","Curitiba","Paraná","BR",,"+55 41 3092-0327","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mansur%20Odontologia&query_place_id=ChIJyUm5G5bh3JQRzhreP8ESleM","Dentista"
"Instituto Bucalle","4.7","133","Avenida Vereador Toaldo Túlio, 3158 Sobre Loja","Curitiba","PR","BR","https://www.institutobucalle.com.br/","+55 41 3092-2220","Clínica odontológica","Dentista cosmético","Periodontia e implantes dentários","Clínica de implante dentário","Radiologia odontológica","Dentista","Clínico geral","Cirurgião dentista","Clínica de odontopediatria",,"https://www.google.com/maps/search/?api=1&query=Instituto%20Bucalle&query_place_id=ChIJE6ElDOrh3JQRtSpE4oOu_1U","Clínica odontológica"
"Tree Odontologia","5","23","Rua João Reffo, 821","Curitiba","Paraná","BR",,"+55 41 98757-7848","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tree%20Odontologia&query_place_id=ChIJCynZmtLh3JQRLlJiJ7oK4AY","Clínica odontológica"
"Dória Odontologia Especializada","4.7","26","Av. Manoel Ribas, 842 - Sala 34","Curitiba","Paraná","BR","https://dd360.app/doriaodontologia","+55 41 3335-3673","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=D%C3%B3ria%20Odontologia%20Especializada&query_place_id=ChIJoYm2Jfnj3JQRurr75fXMDh0","Clínica odontológica"
"New Life Odontologia | Bigorrilho","5","227","R. Francisco Rocha, 1850","Curitiba","Paraná","BR","https://www.newlifeodontologia.com.br/","+55 41 3248-2000","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=New%20Life%20Odontologia%20%7C%20Bigorrilho&query_place_id=ChIJp-alHgXj3JQRZNC5kTyRmOc","Dentista"
"Massoni Odontologia","4.6","51","R. Padre Anchieta, 321","Curitiba","Paraná","BR","https://massoniodontologia.meudoutor.com/","+55 41 99646-5010","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Massoni%20Odontologia&query_place_id=ChIJZR_mK3Pl3JQRWv5wPz6YmY4","Clínica odontológica"
"Contreras Odontologia Humanizada","4.9","188","Rua João Reffo, 645 - sala 01","Curitiba","Paraná","BR","https://contrerasodontologia.com.br/","+55 41 99121-5842","Dentista","Clínica odontológica","Consultório médico","Cirurgião dentista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Contreras%20Odontologia%20Humanizada&query_place_id=ChIJh5ITLkjh3JQR7JiGnwUSrwA","Dentista"
"Dentista Dra. Fátima Hamerski I Consultório Odontológico","5","176","Av. Ver. Toaldo Túlio, 932","Curitiba","Paraná","BR","https://consultoriodrfatim.wixsite.com/consultorio","+55 41 99526-7486","Dentista","Cirurgião dentista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dentista%20Dra.%20F%C3%A1tima%20Hamerski%20I%20Consult%C3%B3rio%20Odontol%C3%B3gico&query_place_id=ChIJRc1VnOXh3JQRJrebtZl93-g","Dentista"
"Odonto Braz Curitiba | Dentista no São Braz e Orleans","4.9","87","Av. Ver. Toaldo Túlio, 4356 - sala 2","Curitiba","Paraná","BR","https://www.instagram.com/odontobrazcuritiba","+55 41 3015-6220","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Braz%20Curitiba%20%7C%20Dentista%20no%20S%C3%A3o%20Braz%20e%20Orleans&query_place_id=ChIJPYJZpO_h3JQRm5i3PgpMaJ4","Dentista"
"Dr. Jo Marcelino Mochizuki - Dentista","5","83","Rua Marcos Mocellin, 89 - Loja 1","Curitiba","Paraná","BR","http://meudentenovo.com.br/","+55 41 99107-1403","Dentista","Clínica odontológica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20Jo%20Marcelino%20Mochizuki%20-%20Dentista&query_place_id=ChIJn3Pd8Kbh3JQRtt7_wDxnR8I","Dentista"
"Consultório Odontológico Dra. Amanda Mushashe","5","30","R. Júlio Perneta, 930","Curitiba","Paraná","BR","https://amandamushashe.com/","+55 41 99841-4009","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20Odontol%C3%B3gico%20Dra.%20Amanda%20Mushashe&query_place_id=ChIJH01bx6Ph3JQRPBmjZpHMXN4","Dentista"
"Dra. Giovanna Bonatti | Cirurgiã Dentista","5","184","Av. Manoel Ribas, 1473 - Sala 102","Curitiba","Paraná","BR","https://msha.ke/dra.giovannabonatti?fbclid=PAAaZ5dj73nf2qd5BFWqCK5Kea7tpVdMH_S5PlDug-ddbg6ogoW7W_ndxuTCw_aem_AQ5ztIk2f9osc8uEJjXgwjL3yRZqMOIBHnlf1YqUcAfvyi8Y2PY6Wklzu7CnsEed4bU","+55 47 99735-1002","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra.%20Giovanna%20Bonatti%20%7C%20Cirurgi%C3%A3%20Dentista&query_place_id=ChIJZUiwGznj3JQROM9EW8aBSPA","Dentista"
"Dra. Juliana Arantes, Especialista em Tratamento de Canal com Microscópio","4.8","51","R. Marcelino Champagnat, 185","Curitiba","Paraná","BR","https://www.drajulianaarantes.com.br/","+55 41 99167-2103","Endodontista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra.%20Juliana%20Arantes%2C%20Especialista%20em%20Tratamento%20de%20Canal%20com%20Microsc%C3%B3pio&query_place_id=ChIJl2IZ5o_j3JQRcc0Z3GHkZEw","Endodontista"
"Manoela M Carneiro","5","61","Av. Manoel Ribas, 985 - Conjunto 01","Curitiba","Paraná","BR","http://www.manoelacarneiro.com.br/","+55 41 99161-0071","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Manoela%20M%20Carneiro&query_place_id=ChIJO-EuDYTl3JQRd6X1bWQXkMg","Dentista"
"Dra. Joana Leticia Vendruscolo","5","14","Rua Myltho Anselmo da Silva, 832","Curitiba","Paraná","BR","https://www.doctoralia.com.br/joana-leticia-vendruscolo/dentista-cirurgiao-buco-maxilo-facial/curitiba","+55 41 99211-7201","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra.%20Joana%20Leticia%20Vendruscolo&query_place_id=ChIJrboJ3Crl3JQRhGINzJ3M_t8","Dentista"
"Odontopediatra Dra Juliene Urcichi","4.9","145","Av. Manoel Ribas, 852","Curitiba","Paraná","BR",,"+55 41 3018-9195","Odontopediatra",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontopediatra%20Dra%20Juliene%20Urcichi&query_place_id=ChIJPVOZJfnj3JQRxZc2trElK9w","Odontopediatra"
"Odonto Alpha - Dentista Santa Felicidade Curitiba. Implantes Dentários, Aparelhos Ortodônticos, Próteses Dentárias.","5","60","Av. Manoel Ribas, 6935 - Loja, 02","Curitiba","Paraná","BR","https://odonto-alpha-x0v5aq5.gamma.site/","+55 41 98508-4277","Dentista","Clínica odontológica","Ortodontista","Periodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Alpha%20-%20Dentista%20Santa%20Felicidade%20Curitiba.%20Implantes%20Dent%C3%A1rios%2C%20Aparelhos%20Ortod%C3%B4nticos%2C%20Pr%C3%B3teses%20Dent%C3%A1rias.&query_place_id=ChIJlcaO89fh3JQR4aWjdfo_2ck","Dentista"
"Dr. Fábio Galli - Dentista em Curitiba","5","86","R. Domingos Strapasson, 181","Curitiba","Paraná","BR","https://www.drfabiogalli.com.br/","+55 41 3372-4022","Cirurgião dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20F%C3%A1bio%20Galli%20-%20Dentista%20em%20Curitiba&query_place_id=ChIJn8_pMlXh3JQRl9Eo_sePPX8","Cirurgião dentista"
"Clínica Cabral Odontologia","4.6","67","Av. Paraná, 254 - sala 01","Curitiba","Paraná","BR","http://www.clinicacabral.com.br/","+55 41 3016-7171","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Cabral%20Odontologia&query_place_id=ChIJlc99JSbk3JQRo3wDnOvyYDk","Clínica odontológica"
"ORTOMAIS ODONTOLOGIA","5","461","Av. Anita Garibaldi, 3482 - Sala 01 E 02","Curitiba","Paraná","BR","http://ortomaisbarreirinha.webnode.page/","+55 41 3023-1390","Clínica odontológica","Dentista","Centro de cuidados com dentaduras","Ortodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=ORTOMAIS%20ODONTOLOGIA&query_place_id=ChIJm-3HnOnm3JQRlITWBolXBtA","Clínica odontológica"
"Renata Motta Odontologia Especializada","4.6","57","R. Colombo, 543","Curitiba","Paraná","BR",,"+55 41 99788-8294","Clínica odontológica","Clínica de implante dentário","Dentista","Endodontista","Clínico geral","Ortodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Renata%20Motta%20Odontologia%20Especializada&query_place_id=ChIJHW9z0wrn3JQRGAp3YQ8NdMo","Clínica odontológica"
"Centro Odontológico São Lourenço","4.7","178","R. Mateus Leme, 3341","Curitiba","Paraná","BR","http://odontologiasaolourenco.com.br/","+55 41 98796-9106","Dentista","Clínica odontológica","Clínica de implante dentário","Endodontista","Cirurgião dentista",,,,,,"https://www.google.com/maps/search/?api=1&query=Centro%20Odontol%C3%B3gico%20S%C3%A3o%20Louren%C3%A7o&query_place_id=ChIJG2evSrrm3JQR8pSrTF3ww6s","Dentista"
"Mappi Odontologia - Boa Vista","5","2","Av. Anita Garibaldi, 2381 - Loja 5","Curitiba","Paraná","BR","https://www.mappiodontologia.com.br/","","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mappi%20Odontologia%20-%20Boa%20Vista&query_place_id=ChIJ4fg9FvHn3JQRidaGO3pM38Q","Clínica odontológica"
"Hygge Odontologia","5","284","Centro Comercial Reinaissance - R. Manoel Eufrásio, 403 A - Conjunto 08","Curitiba","Paraná","BR","https://www.hyggeodontologia.com/","+55 41 99678-0485","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hygge%20Odontologia&query_place_id=ChIJ7bktPyTk3JQRp4ToImYy3uU","Dentista"
"Beyond Odontologia","4.9","253","Av. Cândido de Abreu, 140 - Sala 301","Curitiba","Paraná","BR","https://clinicabeyond.com.br/","+55 41 99284-1177","Clínica odontológica","Esteticista","Ortodontista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beyond%20Odontologia&query_place_id=ChIJgThjo_jl3JQRAVWWq8t8AdI","Clínica odontológica"
"FRAGA BERTAIOLLI ODONTOLOGIA","5","107","Edifício AR3000 - Praça São Paulo da Cruz, 50 - Sala 1603","Curitiba","Paraná","BR",,"","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=FRAGA%20BERTAIOLLI%20ODONTOLOGIA&query_place_id=ChIJs5QbvG_73JQRFYRVaQR2WVg","Clínica odontológica"
"Consultório odontológico dra. Marcia Iurk & dra.Lara Oliveira","4.5","11","Av. Anita Garibaldi, 2047 - loja 01","Curitiba","Paraná","BR",,"+55 41 3077-0520","Cirurgião dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Consult%C3%B3rio%20odontol%C3%B3gico%20dra.%20Marcia%20Iurk%20%26%20dra.Lara%20Oliveira&query_place_id=ChIJBySAnJrl3JQRLUwRIo0n6us","Cirurgião dentista"
"Doc C Odontologia","4.9","37","Av. Anita Garibaldi, 4847 - CJ 104","Curitiba","Paraná","BR","https://instagram.com/docc.odontologia?igshid=NDk5N2NlZjQ=","+55 41 99947-3588","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Doc%20C%20Odontologia&query_place_id=ChIJeffb8RLn3JQRLurqZLqzNKw","Dentista"
"Clínica Vitta Odontologia","5","286","Avenida Nossa Senhora da Luz - Esquina com, Av. Pref. Erasto Gaertner, 51","Curitiba","PR","BR","https://odontovitta.com.br/","+55 41 3501-7370","Clínica odontológica","Clínica de implante dentário","Dentista","Cirurgião dentista","Ortodontista",,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Vitta%20Odontologia&query_place_id=ChIJF5fQwxXl3JQRX1OofHJhXKM","Clínica odontológica"
"Odonto Paraná","4.6","688","Av. Paraná, 1634 - 07","Curitiba","Paraná","BR","https://odontoparana.meudoutor.com/","+55 41 4101-1020","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Paran%C3%A1&query_place_id=ChIJc-EU5IDm3JQRIpuA0F0YEXQ","Dentista"
"Sorriadente Odontologia | Facetas | Botox | Ortodontia | Implantes","4.3","47","Rua Luiz Gonçalves de Moura, 21","Curitiba","Paraná","BR","https://www.instagram.com/sorridenteodontologiaa?igsh=dXFiNTh2bWY3cm04&utm_source=qr","+55 41 99229-0806","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sorriadente%20Odontologia%20%7C%20Facetas%20%7C%20Botox%20%7C%20Ortodontia%20%7C%20Implantes&query_place_id=ChIJ0z2wFTPh3JQRWJFfUlUoPME","Clínica odontológica"
"Clínica DeLara | dentista, curitiba, implante, tratamento canal, clareamento, próteses, extração, ahú, cabral, juvevê","4.9","51","Av. Anita Garibaldi, 1555","Curitiba","Paraná","BR","https://clinicadelara.com.br/","+55 41 3078-9821","Dentista","Clínica odontológica","Periodontia e implantes dentários","Endodontista","Cirurgião dentista",,,,,,"https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20DeLara%20%7C%20dentista%2C%20curitiba%2C%20implante%2C%20tratamento%20canal%2C%20clareamento%2C%20pr%C3%B3teses%2C%20extra%C3%A7%C3%A3o%2C%20ah%C3%BA%2C%20cabral%2C%20juvev%C3%AA&query_place_id=ChIJlxZqZJPn3JQRRbC4pIxcX68","Dentista"
"Quality Odonto E Bem Estar","4.8","57","R. Alfredo Gulin, 80 - Loja 1","Curitiba","Paraná","BR","https://clinicaquality.com.br/","+55 41 99759-3820","Dentista","Dentista cosmético","Periodontia e implantes dentários","Serviço dentário de emergência","Cirurgião dentista","Ortodontista",,,,,"https://www.google.com/maps/search/?api=1&query=Quality%20Odonto%20E%20Bem%20Estar&query_place_id=ChIJTXSjgC773JQRn_SYvYR7d2c","Dentista"
"Clifame","4.7","473","R. Conselheiro Laurindo, 73","Curitiba","Paraná","BR","http://www.clifame.com/","+55 41 3223-1262","Dentista","Clínica odontológica","Periodontia e implantes dentários","Cirurgião dentista","Ortodontista",,,,,,"https://www.google.com/maps/search/?api=1&query=Clifame&query_place_id=ChIJy4fDGBXk3JQRevT6VwxgrtA","Dentista"
"Odontoface Curitiba","5","21","R. Dias da Rocha Filho, 730","Curitiba","Paraná","BR","https://www.odontologiacuritiba.com.br/","+55 41 4101-3337","Dentista","Cirurgião dentista","Ortodontista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontoface%20Curitiba&query_place_id=ChIJA2Tcn2rk3JQRB72Iy3lwdxM","Dentista"
"Dr. Maxwel Marques Dentista 24 horas Curitiba","5","57","Edifício Orion Business - Av. João Gualberto, 1673 - 81","Curitiba","Paraná","BR","https://lp.drmaxwelmarques.com.br/","+55 41 3011-0066","Cirurgião dentista","Serviço dentário de emergência","Endodontista","Ortodontista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20Maxwel%20Marques%20Dentista%2024%20horas%20Curitiba&query_place_id=ChIJ7XC9Nkbj3JQRybWKhHmnJDY","Cirurgião dentista"
"Dra Marcia Cristina Zonatto | Dentista | Curitiba | Odontologia Bom Retiro","5","77","R. Henrique Itiberê da Cunha, 260","Curitiba","Paraná","BR","https://dramarciazonatto.com.br/","+55 41 98703-1818","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Marcia%20Cristina%20Zonatto%20%7C%20Dentista%20%7C%20Curitiba%20%7C%20Odontologia%20Bom%20Retiro&query_place_id=ChIJX7-enhbl3JQRJ0q9k3vkiIY","Dentista"
"Sense Odontologia Premium","4.9","65","Opera Matteo - Av. João Gualberto, 1881 - sala 1907, 19 andar","Curitiba","Paraná","BR","https://senseodonto.com.br/","+55 41 3501-5999","Dentista","Clínica odontológica","Periodontia e implantes dentários","Endodontista","Cirurgião dentista","Ortodontista","Periodontista",,,,"https://www.google.com/maps/search/?api=1&query=Sense%20Odontologia%20Premium&query_place_id=ChIJPfl6GyTk3JQRJere55dGkR0","Dentista"
"Biodente Odontologia - Dr. Antonio Trevisani | Implantes Dentários, Próteses Dentárias e Lentes de contato dental","4.9","180","R. Cel. Brasilino Moura, 389","Curitiba","Paraná","BR","http://biodenteodontologia.com.br/","+55 41 3079-9000","Dentista","Clínica odontológica","Cirurgião dentista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Biodente%20Odontologia%20-%20Dr.%20Antonio%20Trevisani%20%7C%20Implantes%20Dent%C3%A1rios%2C%20Pr%C3%B3teses%20Dent%C3%A1rias%20e%20Lentes%20de%20contato%20dental&query_place_id=ChIJG7EyaKPm3JQR7KemTZdEjlU","Dentista"
"Dental Esthetic Center","4.9","230","R. Bom Jesus, 406","Curitiba","Paraná","BR","https://dentalestheticcenter.com.br/?utm_source=google&utm_medium=gmb&utm_campaign=perfil","+55 41 3252-6413","Dentista","Dentista cosmético","Clínica odontológica","Cirurgião dentista",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dental%20Esthetic%20Center&query_place_id=ChIJ3Sa5hyXk3JQRUGzgakwdrtM","Dentista"
"BellOdont","4.9","37","R. Dias da Rocha Filho, 281","Curitiba","Paraná","BR","https://www.instagram.com/bellodont/?hl=pt","+55 41 3053-4626","Dentista","Periodontia e implantes dentários","Clínica odontológica","Cirurgião dentista","Odontopediatra",,,,,,"https://www.google.com/maps/search/?api=1&query=BellOdont&query_place_id=ChIJjypFCEjk3JQR3x6LYGOaUHQ","Dentista"
"OrtoQualité. Dra Karina Wambier","4.2","19","R. Amauri Lange Silvério, 10 - sl 04","Curitiba","Paraná","BR",,"+55 41 3339-6495","Dentista","Periodontia e implantes dentários","Ortodontista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=OrtoQualit%C3%A9.%20Dra%20Karina%20Wambier&query_place_id=ChIJ___LjjXh3JQRKoKi9f-sGWM","Dentista"
"D.R. Odontologia","5","40","R. Albino Silva, 80","Curitiba","Paraná","BR","https://linktr.ee/dr.odontologia","+55 41 98887-4294","Dentista","Periodontia e implantes dentários","Clínica odontológica","Endodontista","Cirurgião dentista",,,,,,"https://www.google.com/maps/search/?api=1&query=D.R.%20Odontologia&query_place_id=ChIJGUwCn4Xl3JQRQwRJUJVZKtM","Dentista"
"Dr. Luís Francisco Reis Dentista","5","151","Av. João Gualberto, 1342 - sala 903","Curitiba","Paraná","BR","http://www.doutorluisfrancisco.com.br/","+55 41 99567-1342","Dentista","Cirurgião dentista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20Lu%C3%ADs%20Francisco%20Reis%20Dentista&query_place_id=ChIJ947ePYLm3JQRVS8q7g7aeL0","Dentista"
"Odonto Excellence","3.8","78","Av. Ver. Toaldo Túlio, 1979","Curitiba","Paraná","BR","https://www.odontoexcellence.com.br/","+55 41 3272-0513","Dentista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odonto%20Excellence&query_place_id=ChIJtxtc2S_h3JQRpYCtVAErLfk","Dentista"
"Odontonelsen- Especialista em implantes em Curitiba","4.6","9","R. Tomazina, 146","Curitiba","Paraná","BR","http://www.odontonelsen.com.br/","+55 41 98404-0352","Clínica odontológica","Periodontia e implantes dentários","Cirurgião dentista","Clínica especializada",,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontonelsen-%20Especialista%20em%20implantes%20em%20Curitiba&query_place_id=ChIJa8gppJnm3JQRoovQ8swXNTM","Clínica odontológica"
"Dra Leticia Carlini Policeni - Odontologia","5","2","Rua Victório Viezzer, 530","Curitiba","Paraná","BR",,"+55 41 3336-7064","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Leticia%20Carlini%20Policeni%20-%20Odontologia&query_place_id=ChIJfQQPg9Lh3JQRW_cFbI3bqcM","Clínica odontológica"
"Naturale Odontologia Integrada","5","39","R. Estados Unidos, 999","Curitiba","Paraná","BR","http://clinicanaturale.com.br/","+55 41 3256-2794","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Naturale%20Odontologia%20Integrada&query_place_id=ChIJAQAEKtXl3JQRmAgv-zGIpR4","Clínica odontológica"
"Professor Paulo Staub | Staub Odontologia | Dr. Paulo Staub","5","45","R. Mateus Leme, 5760","Curitiba","Paraná","BR",,"+55 41 99787-2633","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Professor%20Paulo%20Staub%20%7C%20Staub%20Odontologia%20%7C%20Dr.%20Paulo%20Staub&query_place_id=ChIJDXywYILn3JQRMutBIAPXD38","Clínica odontológica"
"Odontologia Estética Bucal","4.8","37","Rua São Sebastião, 277","Curitiba","Paraná","BR",,"+55 41 99203-5238","Ortodontista","Dentista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20Est%C3%A9tica%20Bucal&query_place_id=ChIJb-5O_yjk3JQR-xs38CymMK0","Ortodontista"
"ALLDENTAL - Odontologia Integrada","4.8","356","R. XV de Novembro, 2727","Curitiba","Paraná","BR","http://www.alldental.com.br/","+55 41 99232-8281","Clínica odontológica","Periodontia e implantes dentários","Dentista","Endodontista","Ortodontista",,,,,,"https://www.google.com/maps/search/?api=1&query=ALLDENTAL%20-%20Odontologia%20Integrada&query_place_id=ChIJS-IxHUrk3JQR1nCNmQVo1_I","Clínica odontológica"
"Odontologia Kowalski","5","6","R. Jacarezinho, 1285 - Loja 06","Curitiba","Paraná","BR",,"+55 41 3336-6585","Clínica odontológica",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Odontologia%20Kowalski&query_place_id=ChIJj1lJlv3j3JQRZcGC63PKJs0","Clínica odontológica"
